,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02E,F02N,F02R,F02S,F030,F040,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,T019
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Intermediate,Personal consumption expenditures,Nonresidential private fixed investment in equipment,Nonresidential private fixed investment in intellectual property products,Residential private fixed investment,Nonresidential private fixed investment in structures,Change in private inventories,Exports of goods and services,National defense: Consumption expenditures,Federal national defense: Gross investment in equipment,Federal national defense: Gross investment in intellectual property products,Federal national defense: Gross investment in structures,Nondefense: Consumption expenditures,Federal nondefense: Gross investment in equipment,Federal nondefense: Gross investment in intellectual property products,Federal nondefense: Gross investment in structures,State and local government consumption expenditures,State and local: Gross investment in equipment,State and local: Gross investment in intellectual property products,State and local: Gross investment in structures,Total use of products
111CA,Farms,156211,436,---,63,27,---,4097,---,---,---,---,---,---,---,---,---,---,253,389907,1568,---,---,---,---,30248,---,1068,493,1733,354,520,---,---,---,---,---,---,38,---,---,---,---,---,0,---,---,---,0,4,---,1,1,2419,45,1952,---,316,---,---,---,---,---,436,98,8721,13,12,-105,---,6733,---,607665,233600,---,---,---,---,-25457,90431,---,---,---,---,---,---,---,---,---,---,---,---,906238
512,Motion picture and sound recording industries,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,86,553,411,---,173,7,---,---,5,---,46,28,---,228,42509,59658,462,56,48,---,---,---,126,306,13,80,5386,472,107,---,713,73,26,1295,1722,503,97,915,6438,412,26,1761,58,737,---,125535,26215,---,49060,---,---,-400,20441,---,---,---,---,---,---,---,---,---,---,---,---,220852
513,Broadcasting and telecommunications,557,14,1023,115,215,1542,6969,271,638,269,849,660,148,128,442,409,156,339,1015,76,20,297,368,96,383,388,14837,2216,935,515,9713,917,94,206,3032,521,814,2072,263,2715,825,100447,18207,4463,4645,2638,524,80,17804,3462,4249,2573,12197,2110,14182,1031,1998,3840,2402,910,755,486,1309,3935,8180,6260,4758,9238,1601,79377,1639,372359,388726,7661,34567,---,---,---,11051,---,---,---,---,---,---,---,---,---,---,---,---,814364
514,"Data processing, internet publishing, and other information services",---,0,123,9,11,7025,3024,918,1301,936,2081,2057,183,510,764,1278,562,910,1709,142,25,1111,389,369,564,598,6871,6245,2331,1844,21725,1057,0,---,342,385,154,1866,342,5587,275,4977,23918,20102,5865,2196,1326,9,2424,2541,6104,7717,26578,2088,50687,2737,5353,2234,4270,431,1098,1518,2012,1184,18428,9431,1553,10571,678,48366,3820,345842,138105,---,69158,---,---,---,7630,---,---,3008,---,---,---,3496,---,---,---,7974,---,575212
521CI,"Federal Reserve banks, credit intermediation, and related activities",3300,641,7906,636,239,11469,11421,343,1347,1247,1719,1383,1730,836,3655,624,503,1305,4413,292,458,932,564,1374,3689,1586,44874,4486,2629,2751,16301,1619,6373,500,2640,3782,5419,2835,369,7533,1679,17956,6143,88365,50328,483,1002,166557,108371,20342,2316,4094,17135,29092,7927,968,1463,5783,6034,1023,1142,891,2389,5433,10901,9265,0,6877,1444,18928,4186,764241,358215,---,---,---,---,---,83677,---,---,---,---,---,---,---,---,---,---,---,---,1206133
523,"Securities, commodity contracts, and investments",251,12,3132,2301,4656,731,1360,32,48,1865,2007,1681,88,355,2102,411,507,866,74,5,1,24,21,49,19,67,3184,107,291,791,843,1920,691,796,482,1984,200,2112,39,334,711,173,128,93621,60621,3301,78991,10,6599,7322,514,664,3386,14049,1523,38,252,1157,21556,270,4479,1204,91,5698,7704,4841,0,37,13,5454,5034,365875,288208,---,---,---,---,---,84169,---,---,---,---,---,---,---,---,---,---,---,---,738252
524,Insurance carriers and related activities,3252,691,5991,820,1372,2936,497,352,1281,895,1223,1763,316,1044,4671,920,475,737,4479,345,66,490,83,568,2714,968,49744,3928,1776,1866,14389,1045,47,607,17657,12887,360,6059,2970,551,2251,2309,1383,8109,15314,420907,7667,4575,54880,14826,2880,3072,14175,493,9180,1454,2690,10409,13688,3054,8275,2510,1855,1296,9043,2956,0,1380,8576,3935,14196,800178,445444,---,---,6151,---,---,23268,---,---,---,---,---,---,---,---,---,---,---,---,1275040
525,"Funds, trusts, and other financial vehicles",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2509,2564,---,---,---,---,---,---,57,---,---,---,---,---,---,---,---,---,---,---,---,---,106,---,477,---,5713,160462,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,166175
HS,Housing,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2615605,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2615605
ORE,Other real estate,3903,34,3921,165,378,11390,19249,788,1169,530,5391,2393,4301,795,2143,1497,1253,1924,4461,614,162,1706,2195,178,5272,3154,111059,24466,30673,21775,158557,360,183,844,13733,2940,382,9953,10086,12102,5902,32841,16701,22229,35275,14226,304,6726,220787,20710,23361,12183,82798,41147,54847,5708,42871,54769,91118,32424,18404,15869,25044,3337,87723,78468,489,26489,1228,27081,2605,1579749,6468,---,---,155523,41285,---,3305,---,---,---,---,---,---,---,---,---,---,---,---,1786331
532RL,Rental and leasing services and lessors of intangible assets,2519,155,10361,2818,2566,4604,32528,307,984,967,2429,1833,539,610,9870,1031,278,1252,4054,105,2094,1250,585,2935,4760,1413,48889,1295,2126,6161,16680,17535,8322,8272,23360,843,81,3789,4755,3455,1602,11864,16785,5128,11553,3681,12,4400,4427,20860,3052,6074,29423,33919,14298,3312,1775,4563,4315,354,618,2711,2313,3199,24585,2786,249,806,264,12373,968,470682,104470,---,---,---,---,---,89726,---,---,---,---,---,---,---,---,---,---,---,---,664879
5411,Legal services,295,113,1691,460,145,8157,7216,458,526,587,2030,1819,4100,298,2744,1420,275,1868,1246,147,78,818,377,766,4770,1251,22577,726,839,816,8260,327,980,194,403,252,80,824,422,5299,1194,3472,7939,5062,12350,9010,835,1744,12957,1557,3280,4922,19592,12101,10582,731,380,4897,17550,1530,990,2527,2222,1230,3149,5273,0,230,81,16108,1412,250562,123013,---,---,40176,---,---,19426,---,---,---,---,---,---,---,---,---,---,---,---,433177
5415,Computer systems design and related services,389,40,9995,541,51,3299,6399,344,385,379,1641,2035,330,130,749,1709,225,528,1474,91,14,346,447,743,362,616,26962,4474,1104,2050,10441,543,1252,79,1100,460,23,428,438,9618,799,4284,15308,7683,8549,5385,521,820,6503,1150,5009,10614,16154,2531,21140,1137,1897,4277,5374,1164,1949,672,1413,1055,7496,4089,4753,22817,155,34210,5839,296981,---,65188,313581,---,---,---,49018,---,1432,12416,---,---,---,33693,---,---,426,11984,---,784718
5412OP,"Miscellaneous professional, scientific, and technical services",2229,694,8092,1881,1109,21975,68710,2057,2633,3375,5552,5276,7646,1847,7333,4106,1887,4866,11428,786,177,2965,1699,4023,11486,4997,175990,26330,12788,6826,120358,1784,2408,1223,6904,1947,1790,3690,3151,36437,10471,42686,71707,49352,49249,31027,1493,2788,73318,22719,13544,42444,192246,55780,72384,4485,9237,28837,45245,8579,7603,9684,10489,7376,35578,35480,49395,19541,1992,96845,26731,1718759,107540,56832,704504,6112,---,---,219242,---,---,75348,---,---,---,118237,---,---,---,23132,---,3029705
55,Management of companies and enterprises,---,---,61673,6470,2452,143,15240,369,2398,1153,4644,13837,4658,2471,9278,3909,454,4334,22849,885,284,2377,515,5840,17320,1999,143137,2289,5828,15956,43678,3143,9,1097,5164,181,3,7519,1941,5377,692,4812,5113,8027,14002,4361,486,187,20227,15077,5565,5389,19390,52,29894,4809,4022,46500,11216,6288,3035,2678,2501,19415,60865,10625,---,---,231,0,---,726332,---,---,---,---,---,---,4195,---,---,---,---,---,---,---,---,---,---,---,---,730527
561,Administrative and support services,464,51,1086,637,1133,15336,10838,855,1172,4007,8396,3261,2514,623,3734,4986,325,1712,3949,268,347,1684,3004,2982,5320,2108,96600,7108,3752,6234,37717,4764,986,4373,15040,9503,2709,14575,6912,30116,3813,36346,47771,22776,17449,10347,68,3118,160792,45158,12965,42525,82882,21845,133031,8257,5007,27652,54574,11372,4537,9620,4563,5680,16373,20977,5908,17518,717,54887,8962,1218670,81074,---,---,---,---,---,5462,---,---,---,---,---,---,---,---,---,---,---,---,1305206
562,Waste management and remediation services,160,3,1100,103,69,833,2534,121,214,271,286,194,65,50,189,111,80,101,907,53,1,242,87,653,1126,277,3108,824,420,254,1800,73,157,9,1377,35,229,465,202,60,48,86,92,229,153,1018,141,4,61437,1452,292,397,2704,729,2754,13856,281,1669,2048,627,465,83,508,625,2036,1393,114,751,286,26191,4988,146300,37074,---,---,---,---,---,515,---,---,---,---,---,---,---,---,---,---,---,---,183889
61,Educational services,1,0,---,---,---,3,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1,0,---,0,497,64,191,---,1677,121,1,---,---,---,0,0,---,0,---,7,0,36,10,---,---,---,---,---,---,0,0,---,306,---,2145,0,5,---,---,3877,390,---,---,2014,0,38,109,11202,5,22698,425875,---,---,---,---,---,5584,---,---,---,---,---,---,---,---,---,---,---,---,454157
621,Ambulatory health care services,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,158,---,7,---,---,18358,15274,8,1,11,0,---,---,4,---,1980,---,7217,---,43018,1306603,---,---,---,---,---,784,---,---,---,---,---,---,---,---,---,---,---,---,1350405
622,Hospitals,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,500,---,---,---,---,---,---,---,---,---,---,---,---,500,1323066,---,---,---,---,---,9524,---,---,---,---,---,---,---,---,---,---,---,---,1333090
623,Nursing and residential care facilities,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3967,---,1518,---,5485,284090,---,---,---,---,---,192,---,---,---,---,---,---,---,---,---,---,---,---,289767
624,Social assistance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,0,302549,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,302549
711AS,"Performing arts, spectator sports, museums, and related activities",104,0,1,---,18,207,292,38,40,70,89,61,4,6,49,13,17,39,103,5,1,55,45,76,39,121,5661,705,622,107,1457,---,147,---,119,22,---,367,9,288,14698,30685,875,3619,1142,178,144,5,8942,594,756,1739,7980,5130,3293,166,1704,1364,1523,249,1193,30185,884,314,4750,1733,0,37,32,2513,70,137495,97132,---,9215,---,---,---,1527,---,---,---,---,---,---,---,---,---,---,---,---,245369
713,"Amusements, gambling, and recreation industries",67,1,---,1,24,219,466,28,47,35,64,41,4,3,35,10,16,29,59,1,0,29,28,27,29,58,2163,25,138,7,1535,0,1,---,---,---,---,33,3,120,60,140,663,1656,738,77,34,8,---,382,322,1247,1814,2175,1799,110,133,1103,53,101,220,160,331,350,1611,138,2334,19,2,2845,133,26105,244516,---,---,---,---,---,55,---,---,---,---,---,---,---,---,---,---,---,---,270676
721,Accommodation,1,---,2,7,89,1183,431,102,155,140,253,177,19,21,187,38,61,122,237,13,2,115,150,105,132,246,3768,35,66,51,433,---,12,---,---,0,9,420,15,531,310,628,2960,7355,3322,336,156,39,12699,1966,1119,5666,7510,931,6133,576,573,3223,245,260,422,127,258,512,3031,516,1492,920,46,3716,178,76555,189009,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,265564
722,Food services and drinking places,391,12,35,33,246,2960,687,196,254,277,399,306,30,55,288,77,91,186,477,42,7,229,183,307,217,412,12311,1130,1139,1464,7578,8467,3,13,1644,156,75,2333,412,617,580,778,3399,14356,4414,2195,482,41,48497,6455,2699,9840,25456,5944,15170,695,1662,27435,21569,9356,4782,673,1947,8773,10511,1989,737,389,317,17853,709,295445,1024940,---,---,---,---,---,2543,---,---,---,---,---,---,---,---,---,---,---,---,1322929
81,"Other services, except government",280,70,187,125,187,1586,7395,441,1166,1548,1687,968,517,182,999,470,147,487,2036,132,8,1157,369,1019,2028,1075,25817,2397,2812,2650,11378,405,98,227,13153,2611,442,3161,946,2098,429,4241,2458,4574,4069,3305,67,16279,6612,9682,1047,2666,11232,7574,20242,7064,2226,5468,13201,1502,887,893,1932,1897,14122,9879,3792,17591,593,41114,3510,314609,764303,---,---,---,---,---,97,---,---,---,---,---,---,---,---,---,---,---,---,1079009
GFGD,Federal general government (defense),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,726008,---,---,---,---,---,---,---,---,---,---,---,726008
GFGN,Federal general government (nondefense),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,502989,---,---,---,---,---,---,---,502989
GFE,Federal government enterprises,8,3,---,3,---,331,8,---,---,33,106,213,47,123,---,---,---,18,---,1,---,---,43,61,36,---,23338,846,678,363,7179,2,---,1430,4007,297,99,974,664,421,337,152,1544,2502,6164,70,---,0,632,2304,286,548,2578,221,1156,139,386,984,2775,226,419,131,94,618,7713,424,1,155,57,2339,103,76387,6676,---,---,---,---,---,543,---,---,---,---,---,---,---,---,---,---,---,---,83606
GSLG,State and local general government,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2341080,---,---,---,2341080
GSLE,State and local government enterprises,---,1,---,---,---,806,---,58,151,195,208,159,45,35,151,88,39,76,745,49,1,184,60,517,968,180,1957,514,375,196,1362,4,---,---,599,6,94,148,159,66,64,83,114,316,227,46,---,---,3504,1647,459,271,1261,583,1477,1081,113,550,828,388,227,76,216,531,1688,1194,840,854,241,8152,1713,38941,87288,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,126228
Used,"Scrap, used and secondhand goods",-18,239,---,---,1330,7375,3334,---,116,45768,783,7,---,---,---,---,---,36,---,34,---,2580,---,---,58,86,---,33,---,---,276,61,---,-183,872,4,117,6037,0,---,108,2,---,---,---,---,---,---,---,27,---,---,---,827,---,---,1490,0,---,---,---,-115,911,---,---,21477,-58,---,---,---,---,93616,313763,-147673,---,-1384,-3774,10356,54501,---,0,---,-4,---,39,---,-38,---,-20483,---,5806,304725
Other,Noncomparable imports and rest-of-the-world adjustment,715,48,1554,9,148,1647,1800,252,247,692,600,1098,1193,284,1991,382,95,380,1655,100,13,537,216,7956,1804,647,8731,69,508,954,4535,19816,113,1519,1200,9,87,628,113,817,454,6942,876,3183,47679,801,36,148,656,2614,118,2446,3470,1903,1508,64,382,---,---,310,---,356,291,595,2611,2108,9888,2822,5,---,---,157425,-19483,---,15015,---,---,---,146079,---,---,---,---,---,---,---,---,---,---,---,---,299036
T005,Total Intermediate,341192,20636,314792,58937,29898,263142,1044657,111987,84231,233095,265156,260745,111910,92615,586357,172678,50893,80992,846255,35045,9310,134610,44493,718417,490347,212807,1244118,136220,120736,112447,719223,160617,43244,33832,321233,49402,19457,178455,70843,201868,96780,454601,312341,403657,378904,530363,99497,291573,1004296,262892,99187,212421,787493,275344,613552,90677,117100,422898,475070,111181,117049,98392,89206,106921,575259,345305,269654,202064,38929,1151113,278547,20339158,17511743,1327152,1405352,1166365,700472,157306,2600187,726008,92381,97284,12775,502989,25423,162994,15656,2341080,50516,60781,358949,49654571
V001,Compensation of employees,32831,31335,26384,20550,30977,95750,698135,31358,35583,37114,116010,110032,187145,42355,88035,90799,24869,65139,148388,13036,8087,34830,26308,20808,126506,58826,666328,162259,121414,114934,369509,67254,20661,8340,130659,27665,8904,136706,109062,162084,46191,119343,186662,343776,329409,348339,5349,25664,137462,45797,169206,399109,867526,425103,572783,41119,241384,719419,495498,160904,166851,75466,67625,92854,402826,392948,301498,223249,68173,1553722,123019,13455238,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
T00OTOP,Other taxes on production,11974,1506,27938,3375,2287,40179,11054,811,1757,2932,3522,4246,9881,1376,4278,3506,461,1936,8253,710,335,2066,865,4324,17123,1949,15891,3522,3618,2673,17518,4430,1659,1018,4995,1068,4233,2844,1000,6077,4403,3709,4935,20710,5609,8303,630,312331,34616,10337,1531,2545,12040,9745,5089,2364,10436,9930,14578,4073,1455,3248,4532,7366,5186,12691,---,---,---,---,---,751580,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
T00OSUB,Less: Other subsidies on production,17,2,2,2,9,13,76,1,0,0,4,2,1,0,1,0,1,2,1,0,1,0,1,0,1,1,15,34,9,1,42,289,0,2,26,17,0,12,1,4,711,3,2,84,4,8,0,0,31,8,10,8,35,14,12,1,13,7052,3236,544,8510,3347,7,14,52,73,---,---,---,---,---,24370,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
V003,Gross operating surplus,191963,13339,245841,48823,21148,266374,378169,29729,35535,51536,44635,67512,104212,19620,63809,78523,5839,39976,134258,3705,1941,32103,15014,174251,353554,29166,555053,115345,57346,25005,322372,55353,31390,11386,126973,26879,36578,71520,4242,188165,49020,344234,227227,488916,23746,297654,22288,2025649,567472,243852,133737,48944,338385,43433,162445,25296,40324,171730,88998,9714,21032,79009,21442,87291,119047,120275,190944,148857,18630,284838,83487,10606097,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
VABAS,Value Added (basic prices),236750,46177,300162,72745,54403,402290,1087281,61897,72874,91582,164164,181788,301237,63350,156121,172827,31168,107049,290897,17450,10362,68998,42186,199383,497183,89941,1237257,281092,182368,142611,709357,126749,53709,20741,262600,55595,49714,211058,114302,356322,98903,467284,418822,853317,358760,654287,28267,2363644,739519,299978,304464,450590,1217916,478267,740304,68778,292130,894028,595839,174147,180828,154377,93591,187497,527007,525842,492441,372106,86803,1838560,206506,24788546,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
T018,Total industry output (basic prices),577943,66813,614954,131683,84301,665432,2131939,173884,157105,324677,429320,442533,413147,155965,742478,345505,82061,188040,1137153,52496,19672,203608,86679,917800,987530,302748,2481375,417312,303105,255058,1428580,287365,96953,54573,583833,104996,69170,389513,185145,558191,195683,921885,731163,1256975,737665,1184650,127764,2655216,1743814,562870,403650,663011,2005409,753610,1353857,159455,409230,1316925,1070909,285328,297878,252769,182798,294418,1102266,871147,762096,574171,125733,2989673,485053,45127704,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
T00TOP,Taxes on products and imports,---,1127,24362,5542,223,35916,2826,180,191,180,729,313,584,194,286,162,60,306,20961,20,18,160,72,535,4228,481,309569,66281,32237,54001,153084,25607,935,242,667,1363,87,437,240,1890,1474,45213,2853,4016,1822,32981,73,---,1998,16566,24470,7433,8481,2138,9061,2445,1321,2387,3720,3828,1583,5677,17580,28334,67569,18591,---,---,---,---,730,1058642,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
T00SUB,Less: Subsidies on products,13234,---,---,---,---,0,---,---,---,---,---,---,---,378,---,---,---,---,---,20,---,---,---,0,24,---,---,0,---,---,---,366,3164,8,0,---,---,---,---,---,---,0,---,588,---,---,---,23155,1605,---,---,---,---,---,---,---,---,---,4,---,---,---,---,---,---,---,---,---,11939,---,48595,103080,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
VAPRO,Value Added (producer prices),223517,47304,324524,78287,54626,438206,1090107,62076,73065,91762,164893,182101,301821,63166,156406,172989,31228,107355,311858,17450,10380,69158,42259,199918,501387,90422,1546826,347373,214606,196612,862441,151989,51481,20976,263268,56957,49801,211495,114542,358213,100377,512497,421675,856745,360583,687269,28341,2340489,739912,316544,328934,458023,1226398,480405,749366,71223,293451,896414,599555,177975,182412,160054,111171,215831,594576,544433,492441,372106,74864,1838560,158641,25744108,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
