,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T007,MCIF,MADJ,T013,Trade,Trans,T014,MDTY,TOP,SUB,T015,T016
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Commodity Output,Imports,CIF/FOB Adjustments on Imports,Total product supply (basic prices),Trade margins,Transport margins,Total trade and transportation margins,Import duties,Tax on products,Subsidies on products,Total tax less subsidies on products,Total product supply (purchaser prices)
313TT,Textile mills and textile product mills,---,---,---,---,---,---,---,0,25,2,125,0,18,0,553,0,73,101,0,46277,293,238,620,0,2,1202,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,49530,40218,---,89748,86255,5657,91912,3437,7916,-20,11333,192993
315AL,Apparel and leather and allied products,---,---,---,---,---,---,---,---,79,---,0,0,---,---,---,0,2,628,604,234,17428,0,7,---,146,0,---,---,---,---,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1504,---,20633,161603,---,182236,319732,11244,330976,24931,32239,---,57170,570383
322,Paper products,---,---,---,---,---,---,---,26,31,2,0,0,1,9,---,---,1,63,50,1,---,199095,672,0,126,794,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,771,---,201639,32404,---,234043,74926,16166,91091,915,8657,---,9573,334707
323,Printing and related support activities,---,---,---,---,---,---,---,---,---,---,67,---,1,---,---,---,6,383,---,263,13,290,66730,---,0,49,---,---,---,---,0,---,---,---,---,---,---,---,---,1670,---,---,---,---,---,---,---,---,---,---,---,---,12,---,1914,---,---,---,---,---,---,---,---,---,---,---,---,81,---,2096,---,73575,3305,---,76880,16070,4028,20098,155,1127,---,1282,98260
324,Petroleum and coal products,---,---,64494,130,106,---,---,---,133,996,4,0,---,3,---,---,---,0,46,---,---,---,---,857351,11465,2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,934730,94136,---,1028866,245186,40025,285210,163,116177,---,116340,1430416
325,Chemical products,---,---,443,2435,---,---,---,26,202,233,33,92,336,0,2,33,11,135,2570,3195,241,23,---,43017,874741,1945,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,67,---,129,---,929909,365182,---,1295091,591249,42798,634048,5675,39297,-24,44948,1974086
326,Plastics and rubber products,---,---,---,---,---,---,---,132,201,1,769,82,145,98,101,244,11,1033,0,714,3,426,220,0,2976,288941,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,296098,82095,---,378192,138297,8183,146480,5169,12018,---,17188,541860
42,Wholesale trade,---,---,2047,98,274,1987,---,1582,1479,1049,3620,5301,2217,2309,2508,1178,893,6408,9734,452,411,1139,587,16021,12506,2218,2358915,---,---,---,---,0,---,---,---,0,---,0,---,2157,4,134,5211,---,---,---,---,---,---,---,---,154,---,---,---,---,---,---,---,---,---,---,---,---,44,581,---,---,---,---,---,2443219,---,---,2443219,-2321421,---,-2321421,---,0,---,0,121798
441,Motor vehicle and parts dealers,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,347425,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,601,---,---,---,---,---,---,---,---,---,---,---,---,25,2,---,1878,---,---,---,---,---,349930,---,---,349930,-349930,---,-349930,---,0,---,0,0
445,Food and beverage stores,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,278370,---,---,---,---,---,---,---,---,11,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,179,674,---,---,---,---,---,7526,286760,---,---,286760,-286760,---,-286760,---,0,---,0,0
452,General merchandise stores,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,238460,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3400,---,---,671,---,---,---,---,---,---,---,0,---,---,429,---,173,---,---,3045,---,---,246179,---,---,246179,-246179,---,-246179,---,0,---,0,0
4A0,Other retail,---,---,---,---,---,1233,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1360237,---,---,---,---,0,---,0,---,3165,136,4277,198,---,---,---,---,---,---,309,---,1798,2540,---,1062,106,767,9752,1694,20,106,1313,2813,698,1968,4425,---,---,53,---,---,1398671,---,---,1398671,-1383281,---,-1383281,---,0,---,0,15390
481,Air transportation,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,279928,---,---,---,---,---,35,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,279963,50888,-6263,324588,---,-14838,-14838,---,25518,-366,25151,334901
482,Rail transportation,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,95539,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,173,95712,430,-1137,95005,---,-83138,-83138,---,814,-3200,-2386,9481
483,Water transportation,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,51785,---,---,---,418,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,485,52687,74485,-91623,35549,---,-15130,-15130,---,199,-8,192,20610
484,Truck transportation,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,535168,---,---,1034,477,---,---,---,---,---,---,---,---,---,---,1582,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,538261,3395,-11507,530148,---,-450073,-450073,---,426,---,426,80501
485,Transit and ground passenger transportation,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,104890,---,490,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,34232,139612,---,---,139612,---,---,---,---,1360,-21948,-20589,119024
486,Pipeline transportation,---,---,---,---,---,4682,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,107,---,---,---,---,---,---,---,---,---,68493,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,73282,---,---,73282,---,-72703,-72703,---,87,---,87,667
487OS,Other transportation and support activities,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,792,0,---,---,0,2175,---,2608,31982,9,---,374153,2395,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,686,---,---,---,---,---,---,---,---,---,---,---,---,---,---,21523,436323,7614,-12601,431335,---,---,---,---,588,---,588,431923
493,Warehousing and storage,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,405,0,---,---,0,---,---,---,9245,---,---,2258,180888,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,192797,---,---,192797,---,---,---,---,278,---,278,193074
511,"Publishing industries, except internet (includes software)",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,426021,---,---,22611,---,---,---,---,---,---,---,---,16342,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1777,---,664,---,467415,5510,---,472925,152193,9307,161500,50,14360,---,14410,648835
512,Motion picture and sound recording industries,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,865,---,---,---,---,---,---,---,---,---,192167,1376,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,88,---,18,1,---,194515,13573,---,208088,10246,195,10440,0,2324,---,2324,220852
513,Broadcasting and telecommunications,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,---,---,0,---,775538,3829,---,---,---,---,---,---,---,---,200,---,---,---,---,---,---,---,---,---,---,---,168,---,---,---,---,---,---,---,779736,170,---,779906,---,---,---,---,34459,---,34459,814364
514,"Data processing, internet publishing, and other information services",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,56339,---,7,402929,---,---,---,---,---,---,---,---,25500,81804,---,---,---,---,---,---,---,---,---,---,---,---,808,29,---,---,2875,---,570291,2124,---,572416,---,---,---,0,2796,---,2796,575212
521CI,"Federal Reserve banks, credit intermediation, and related activities",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4525,46,---,363,---,---,---,---,---,---,---,---,---,---,---,---,1160847,27789,---,---,---,1825,88,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,24,1195507,11214,---,1206721,---,---,---,---,0,-588,-588,1206133
523,"Securities, commodity contracts, and investments",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,31266,702538,1804,---,---,---,96,---,---,623,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,736327,61,---,736388,---,---,---,---,1864,---,1864,738252
524,Insurance carriers and related activities,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,---,---,---,4228,1174964,---,---,402,824,---,---,---,---,172,---,147,---,---,---,---,---,---,---,---,---,---,---,14457,---,503,1195698,59648,-1370,1253977,---,---,---,---,33002,-11939,21063,1275040
525,"Funds, trusts, and other financial vehicles",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,127741,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,791,---,37570,---,166102,---,---,166102,---,---,---,---,73,---,73,166175
HS,Housing,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2628259,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,37111,2665370,---,---,2665370,---,---,---,---,0,-49766,-49766,2615605
