,Commodities/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T007,MCIF,MADJ,T013,Trade,Trans,T014,MDTY,TOP,SUB,T015,T016
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,Total Commodity Output,Imports,CIF/FOB Adjustments on Imports,Total product supply (basic prices),Trade margins,Transport margins,Total trade and transportation margins,Import duties,Tax on products,Subsidies on products,Total tax less subsidies on products,Total product supply (purchaser prices)
721,Accommodation,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,74,---,---,---,---,---,---,---,28618,---,---,---,---,9,195,203182,22,---,---,---,---,12762,---,244861,---,---,244861,---,---,---,---,20703,---,20703,265564
722,Food services and drinking places,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,13494,10058,23825,---,---,---,---,---,---,43,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5317,50,1869,494,---,4559,11444,48619,1097015,3055,---,---,1461,22906,---,1244210,---,---,1244210,---,---,---,---,78719,---,78719,1322929
81,"Other services, except government",---,---,---,---,---,---,---,---,---,---,465,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,86104,64913,0,2278,20359,---,---,---,---,---,---,1415,---,2,---,781,148,---,---,---,---,---,265,1388,---,4999,2716,---,---,---,18,---,---,---,---,344,2827,2054,---,855118,---,---,0,1391,3316,1050901,3524,---,1054425,---,---,---,10,24574,---,24584,1079009
GFGD,Federal general government (defense),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,726008,---,---,---,---,726008,---,---,726008,---,---,---,---,0,---,0,726008
GFGN,Federal general government (nondefense),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,502989,---,---,---,502989,---,---,502989,---,---,---,---,0,---,0,502989
GFE,Federal government enterprises,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4415,78879,---,---,83294,312,---,83606,---,---,---,---,0,---,0,83606
GSLG,State and local general government,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2341080,---,2341080,---,---,2341080,---,---,---,---,0,---,0,2341080
GSLE,State and local government enterprises,---,---,---,---,---,5038,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,121190,126228,---,---,126228,---,---,---,---,0,---,0,126228
Used,"Scrap, used and secondhand goods",---,---,---,---,---,---,---,397,6,633,3538,393,0,0,377,43,---,0,1,0,0,500,175,---,---,296,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1204,---,---,---,---,---,---,---,---,11,---,---,---,---,5021,---,12596,24294,---,36890,196733,47797,244531,104,23201,---,23305,304725
Other,Noncomparable imports and rest-of-the-world adjustment,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5476,---,---,---,5476,293560,---,299036,---,---,---,---,0,---,0,299036
T017,Total industry supply,577943,66813,614954,131683,84301,665432,2131939,173884,157105,324677,429320,442533,413147,155965,742478,345505,82061,188040,1137153,52496,19672,203608,86679,917800,987530,302748,2481375,417312,303105,255058,1428580,287365,96953,54573,583833,104996,69170,389513,185145,558191,195683,921885,731163,1256975,737665,1184650,127764,2655216,1743814,562870,403650,663011,2005409,753610,1353857,159455,409230,1316925,1070909,285328,297878,252769,182798,294418,1102266,871147,762096,574171,125733,2989673,485053,45127704,3695807,-124501,48699009,0,0,0,102333,956309,-103080,955563,49654572
